"","file_id","genus","species","english_cname","who_provided_recording","country","latitude","longitute","type","license","fill"
"76",102106,"Emberiza","citrinella","Yellowhammer","Richard Dunn","UK",55.1089,-1.7028,"Song","http://creativecommons.org/licenses/by-nc-nd/2.5/","darkslategray1"
"77",102107,"Emberiza","citrinella","Yellowhammer","Richard Dunn","UK",55.1089,-1.7028,"Song","http://creativecommons.org/licenses/by-nc-nd/2.5/","darkslategray1"
"78",145533,"Emberiza","citrinella","Yellowhammer","Patrik berg","UK",52.9382,1.1089,"Song","http://creativecommons.org/licenses/by-nc-sa/3.0/","darkslategray1"
"79",102048,"Emberiza","schoeniclus","Common Reed Bunting","Richard Dunn","UK",55.07,-1.6059,"Song","http://creativecommons.org/licenses/by-nc-nd/2.5/","darkslategray1"
"80",102803,"Emberiza","schoeniclus","Common Reed Bunting","Richard Dunn","UK",55.2809,-1.5801,"Song","http://creativecommons.org/licenses/by-nc-nd/2.5/","darkslategray1"
"81",86327,"Emberiza","schoeniclus","Common Reed Bunting","David Farrow","UK",52.497,0.722,"Song","http://creativecommons.org/licenses/by-nc-nd/2.5/","darkslategray1"
"82",70124,"Erithacus","rubecula","European Robin","Paul Driver","UK",51.721,-0.145,"Song","http://creativecommons.org/licenses/by-nc-nd/2.5/","darkslategray1"
"83",30390,"Erithacus","rubecula","European Robin","Stuart Fisher","UK",51.317,-0.5592,"Song","http://creativecommons.org/licenses/by-nc-nd/2.5/","darkslategray1"
"84",133862,"Erithacus","rubecula","European Robin","Mike Nelson","UK",55.9937,-3.5605,"Song","http://creativecommons.org/licenses/by-nc-sa/3.0/","darkslategray1"
"85",42803,"Fringilla","coelebs","Common Chaffinch","Stuart Fisher","UK",51.5676,0.0451,"Song","http://creativecommons.org/licenses/by-nc-nd/2.5/","darkslategray1"
"86",122548,"Fringilla","coelebs","Common Chaffinch","Ashley Fisher","UK",49.9172,-6.3034,"Both","http://creativecommons.org/licenses/by-nc-sa/3.0/","darkslategray1"
"87",121597,"Fringilla","coelebs","Common Chaffinch","david m","UK",54.1245,-0.5722,"Both","http://creativecommons.org/licenses/by-nc-nd/3.0/","darkslategray1"
"88",31059,"Fulica","atra","Eurasian Coot","Rombout de Wijs","Netherlands",52.2962,5.1231,"Call","http://creativecommons.org/licenses/by-nc-nd/2.5/","grey"
