"","file_id","genus","species","english_cname","who_provided_recording","country","latitude","longitute","type","license","fill"
"187",101940,"Streptopelia","decaocto","Eurasian Collared Dove","Richard Dunn","UK",55.065,-1.505,"Song","http://creativecommons.org/licenses/by-nc-nd/2.5/","darkslategray1"
"188",101941,"Streptopelia","decaocto","Eurasian Collared Dove","Richard Dunn","UK",55.065,-1.505,"Song","http://creativecommons.org/licenses/by-nc-nd/2.5/","darkslategray1"
"189",75092,"Streptopelia","turtur","European Turtle Dove","Tomas Belka","Czech Republic",50.1167,16.7667,"Song","http://creativecommons.org/licenses/by-nc-nd/2.5/","grey"
"190",64728,"Strix","aluco","Tawny Owl","Patrik berg","Sweden",58.5731,14.2489,"Both","http://creativecommons.org/licenses/by-nc-sa/3.0/","grey"
"191",67089,"Strix","aluco","Tawny Owl","Richard Dunn","UK",55.219,-1.765,"Song","http://creativecommons.org/licenses/by-nc-nd/2.5/","darkslategray1"
"192",76765,"Strix","aluco","Tawny Owl","Richard Dunn","UK",55.219,-1.765,"Song","http://creativecommons.org/licenses/by-nc-nd/2.5/","darkslategray1"
"193",101936,"Sturnus","vulgaris","Common Starling","Richard Dunn","UK",54.857,-2.2701,"Song","http://creativecommons.org/licenses/by-nc-nd/2.5/","darkslategray1"
"194",42698,"Sturnus","vulgaris","Common Starling","Stuart Fisher","UK",57.8981,-6.7995,"Song","http://creativecommons.org/licenses/by-nc-nd/2.5/","darkslategray1"
"195",144382,"Sturnus","vulgaris","Common Starling","Magnus Bergsson","Iceland",64.674,-21.6221,"Song","http://creativecommons.org/licenses/by-nc-sa/3.0/","grey"
"196",94964,"Sylvia","atricapilla","Eurasian Blackcap","Richard Dunn","UK",55.2189,-1.7648,"Song","http://creativecommons.org/licenses/by-nc-nd/2.5/","darkslategray1"
"197",99357,"Sylvia","atricapilla","Eurasian Blackcap","Tony Whitehead","UK",50.658,-3.719,"Song","http://creativecommons.org/licenses/by-nc-nd/2.5/","darkslategray1"
"198",94967,"Sylvia","atricapilla","Eurasian Blackcap","Richard Dunn","UK",55.2189,-1.7648,"Song","http://creativecommons.org/licenses/by-nc-nd/2.5/","darkslategray1"
"199",102932,"Sylvia","borin","Garden Warbler","Stuart Fisher","UK",51.71,-0.011,"Song","http://creativecommons.org/licenses/by-nc-nd/2.5/","darkslategray1"
"200",49443,"Sylvia","borin","Garden Warbler","Andrew McCafferty","UK",50.16232501,-1.16618667,"Song","http://creativecommons.org/licenses/by-nc-nd/2.5/","darkslategray1"
"201",146260,"Sylvia","borin","Garden Warbler","david m","UK",54.1329,-0.5494,"Song","http://creativecommons.org/licenses/by-nc-nd/3.0/","darkslategray1"
"202",135521,"Sylvia","communis","Common Whitethroat","Suzanne MacLeod","UK",51.3541,-2.0824,"Song","http://creativecommons.org/licenses/by-nc-sa/3.0/","darkslategray1"
"203",76740,"Sylvia","communis","Common Whitethroat","Richard Dunn","UK",55.07,-1.606,"Song","http://creativecommons.org/licenses/by-nc-nd/2.5/","darkslategray1"
"204",76742,"Sylvia","communis","Common Whitethroat","Richard Dunn","UK",55.07,-1.606,"Song","http://creativecommons.org/licenses/by-nc-nd/2.5/","darkslategray1"
"205",101932,"Sylvia","curruca","Lesser Whitethroat","Richard Dunn","UK",55.07,-1.6059,"Song","http://creativecommons.org/licenses/by-nc-nd/2.5/","darkslategray1"
"206",101933,"Sylvia","curruca","Lesser Whitethroat","Richard Dunn","UK",55.07,-1.6059,"Song","http://creativecommons.org/licenses/by-nc-nd/2.5/","darkslategray1"
"207",102278,"Sylvia","curruca","Lesser Whitethroat","Richard Dunn","UK",55.2809,-1.5801,"Song","http://creativecommons.org/licenses/by-nc-nd/2.5/","darkslategray1"
"208",41816,"Tringa","glareola","Wood Sandpiper","Hans Petter Kristoffersen","Norway",69.6001,19.8334,"Both","http://creativecommons.org/licenses/by-nc-nd/2.5/","grey"
"209",83912,"Tringa","totanus","Common Redshank","Patrik berg","Iceland",65.5501,-17.2334,"Both","http://creativecommons.org/licenses/by-nc-nd/2.5/","grey"
"210",57919,"Tringa","totanus","Common Redshank","Ruud van Beusekom","Iceland",65.061,-13.975,"Song","http://creativecommons.org/licenses/by-nc-nd/2.5/","grey"
"211",110167,"Tringa","totanus","Common Redshank","Jens Kirkeby","Norway",69.6365,18.8518,"Song","http://creativecommons.org/licenses/by-nc-nd/2.5/","grey"
"212",133872,"Troglodytes","troglodytes","Eurasian Wren","Mike Nelson","UK",55.9937,-3.5605,"Song","http://creativecommons.org/licenses/by-nc-sa/3.0/","darkslategray1"
"213",59776,"Troglodytes","troglodytes","Eurasian Wren","Frank Lambert","UK",50.853,-0.164,"Song","http://creativecommons.org/licenses/by-nc-nd/3.0/","darkslategray1"
"214",71024,"Troglodytes","troglodytes","Eurasian Wren","Paul Driver","UK",51.7209,-0.1448,"Song","http://creativecommons.org/licenses/by-nc-nd/2.5/","darkslategray1"
"215",121168,"Turdus","iliacus","Redwing","Lars Theng","Sweden",58.1422,13.4531,"Song","http://creativecommons.org/licenses/by-nc-sa/3.0/","grey"
"216",27962,"Turdus","iliacus","Redwing","Patrik berg","Sweden",58.453481,14.229355,"Song","http://creativecommons.org/licenses/by-nc-sa/3.0/","grey"
"217",25119,"Turdus","iliacus","Redwing","Niels Krabbe","Finland",65.0667,24.6334,"Song","http://creativecommons.org/licenses/by-nc-sa/3.0/","grey"
"218",127996,"Turdus","merula","Common Blackbird","david m","UK",54.1226,-0.5429,"Both","http://creativecommons.org/licenses/by-nc-nd/3.0/","darkslategray1"
"219",72861,"Turdus","merula","Common Blackbird","Stuart Fisher","UK",51.5278,-0.0101,"Song","http://creativecommons.org/licenses/by-nc-nd/2.5/","darkslategray1"
"220",94958,"Turdus","merula","Common Blackbird","Richard Dunn","UK",55.0698,-1.5167,"Song","http://creativecommons.org/licenses/by-nc-nd/2.5/","darkslategray1"
"221",96608,"Turdus","philomelos","Song Thrush","Fraser Simpson","UK",51.636,-0.328,"Song","http://creativecommons.org/licenses/by-nc-nd/2.5/","darkslategray1"
"222",132392,"Turdus","philomelos","Song Thrush","david m","UK",54.12,-0.5445,"Song","http://creativecommons.org/licenses/by-nc-nd/3.0/","darkslategray1"
"223",146756,"Turdus","philomelos","Song Thrush","David Darrell-Lambert","UK",51.6608,0.0031,"Song","http://creativecommons.org/licenses/by-nc-sa/3.0/","darkslategray1"
"224",27060,"Vanellus","vanellus","Northern Lapwing","Patrik berg","Sweden",58.4051,14.3028,"Song","http://creativecommons.org/licenses/by-nc-sa/3.0/","grey"
"225",97982,"Vanellus","vanellus","Northern Lapwing","Herman van der Meer","Netherlands",52.152,4.347,"Both","http://creativecommons.org/licenses/by-nc-nd/2.5/","grey"
"226",69855,"Vanellus","vanellus","Northern Lapwing","Ruud van Beusekom","Netherlands",52.2598,5.297,"Both","http://creativecommons.org/licenses/by-nc-nd/2.5/","grey"
